time,x_filter,u_filter,y_filter,vm_filter,psi_filter,r_filter,rudder_left_cmd,rudder_right_cmd,rps_readback,bow_readback,winddir,windspeed,GNSS_quality_fore,GNSS_quality_mdi,GNSS_quality_aft,n_bt_rps_cmd,x_raw,u_dop_raw,y_raw,vm_dop_raw,psi_raw_rad,r_raw_rad,kf_linear_x,kf_linear_u,kf_linear_y,kf_linear_v,kf_linear_psi,kf_linear_r,automode,bowstate,dist_m_lidar,dist_m_lidar_ma,velo_ms_lidar_ma
5.300000000000001,0,0,0,0,0,0,-63.66210937558646,85.29445436588131,24.799597085,-368,349,0.6299999952316284,0,0,0,-27.0,-11259014,0,5105954.0,0,35.83740234375,3.277587890625,0,0,0,0,0,0,0,0,0.0,0.03290139138698578,0.036557093262672424
5.4,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-1620,355,0.6399999856948853,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,36.8756103515625,3.619384765625,0,0,0,0,0,0,0,1,0.8759999871253967,0.1172112450003624,-0.843098521232605
5.5,0,0,0,0,0,0,-73.4471564666511,77.49008843386149,24.799597085,-368,355,0.6399999856948853,0,0,0,-27.0,-11259014,0,5105954.0,0,36.8756103515625,3.619384765625,0,0,0,0,0,0,0,1,0.0,0.10549012571573257,0.11721119284629822
5.6000000000000005,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-1620,8,0.6899999976158142,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,36.8756103515625,3.619384765625,0,0,0,0,0,0,0,1,0.0,0.09494111686944962,0.10549008846282959
5.7,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,8,0.6899999976158142,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,37.628173828125,3.86962890625,0,0,0,0,0,0,0,1,0.0,0.08544700592756271,0.09494110941886902
5.800000000000001,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,8,0.7699999809265137,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,38.023681640625,4.010009765625,0,0,0,0,0,0,0,1,0.0,0.07690230756998062,0.08544698357582092
5.9,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,8,0.7699999809265137,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,38.4356689453125,4.150390625,0,0,0,0,0,0,0,0,0.0,0.06921207904815674,0.07690228521823883
6.0,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,8,0.7699999809265137,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,38.858642578125,4.302978515625,0,0,0,0,0,0,0,1,0.0,0.062290869653224945,0.06921209394931793
6.1000000000000005,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,10,0.7799999713897705,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,39.298095703125,4.40673828125,0,0,0,0,0,0,0,1,0.0,0.05606178194284439,0.06229087710380554
6.2,0,0,0,0,0,0,-43.66776322336138,101.24156146625799,24.799597085,-368,10,0.7799999713897705,0,0,0,-6.141448020935059,-11259014,0,5105954.0,0,39.74853515625,4.522705078125,0,0,0,0,0,0,0,0,0.0,0.05045560747385025,0.056061744689941406
