,x_position,u_velo,y_position,psi_hat,vm_velo,beta,r_angvelo,n_prop,delta_rudder_p,delta_rudder_s,physical_time,delta_rudder_p_deg,delta_rudder_s_deg,X,Y,N,T,FNp,FT1,FNs,FT2,velocity
105,0,0.437,0,0,0,0,0,8.15,0.349066,1.047198,0,20,60,-0.13413,-0.23317,0.30132,0.15786,0.07584,-0.00447,0.1599,-0.00423,0.45141
106,0,0.437,0,0,0,0,0,8.15,0.349066,1.22173,0,20,70,-0.15713,-0.23613,0.31523,0.15527,0.10425,0.00521,0.16722,-0.00663,0.46019
107,0,0.437,0,0,0,0,0,8.15,0.349066,1.396263,0,20,80,-0.1658,-0.22538,0.29257,0.15853,0.11887,0.00761,0.16902,-0.00918,0.45776
108,0,0.437,0,0,0,0,0,8.15,0.349066,1.570796,0,20,90,-0.18463,-0.20253,0.27252,0.16255,0.13114,0.00841,0.17027,-0.01209,0.45895
109,0,0.437,0,0,0,0,0,8.15,0.349066,1.745329,0,20,100,-0.17832,-0.18781,0.24265,0.16564,0.14066,0.00831,0.16659,-0.01438,0.45278
110,0,0.437,0,0,0,0,0,8.15,0.523599,0.523599,0,30,30,-0.09312,-0.23601,0.32371,0.1462,0.07694,0.00571,0.12002,-0.01503,0.45502
111,0,0.437,0,0,0,0,0,8.15,0.523599,0.698132,0,30,40,-0.12085,-0.26756,0.36373,0.15411,0.08512,0.00506,0.14992,-0.01312,0.45466
112,0,0.437,0,0,0,0,0,8.15,0.523599,0.872665,0,30,50,-0.15321,-0.28413,0.37241,0.16061,0.09407,0.00605,0.16871,-0.00804,0.45194
113,0,0.437,0,0,0,0,0,8.15,0.523599,1.047198,0,30,60,-0.18711,-0.25901,0.37116,0.15577,0.11258,0.00713,0.17334,-0.0065,0.45934
114,0,0.437,0,0,0,0,0,8.15,0.523599,1.22173,0,30,70,-0.2027,-0.24907,0.33264,0.15343,0.12677,0.00849,0.1732,-0.00716,0.45774
115,0,0.437,0,0,0,0,0,8.15,0.523599,1.396263,0,30,80,-0.20269,-0.23838,0.29935,0.15654,0.13367,0.00885,0.17292,-0.0094,0.45053
116,0,0.437,0,0,0,0,0,8.15,0.523599,1.570796,0,30,90,-0.20413,-0.20114,0.26689,0.1666,0.14131,0.00924,0.17453,-0.01256,0.45386
117,0,0.437,0,0,0,0,0,8.15,0.523599,1.745329,0,30,100,-0.1991,-0.16864,0.22529,0.16984,0.14866,0.0088,0.17352,-0.01517,0.45542
118,0,0.437,0,0,0,0,0,8.15,0.698132,0.698132,0,40,40,-0.14675,-0.29071,0.38507,0.15387,0.11386,0.00447,0.14504,-0.0129,0.45254
119,0,0.437,0,0,0,0,0,8.15,0.698132,0.872665,0,40,50,-0.18471,-0.30457,0.40238,0.15342,0.11801,0.00505,0.1717,-0.01139,0.45095
120,0,0.437,0,0,0,0,0,8.15,0.698132,1.047198,0,40,60,-0.21672,-0.2712,0.38157,0.15652,0.12298,0.00544,0.18513,-0.01052,0.45652
